fold,n_train,n_test,n_segmentation_train,n_segmentation_test,segmentation_frame_accuracy,segment_top1_accuracy,segment_top3_hit_rate,segment_top1_hits,segment_top3_hits,carry_segments_used
1,40,10,20,5,0.8907032083367523,0.5625,0.7678571428571429,63,86,112
2,40,10,20,5,0.9183201695241765,0.7129629629629629,0.9444444444444444,77,102,108
3,40,10,20,5,0.9011777140268761,0.5686274509803921,0.8235294117647058,58,84,102
4,40,10,20,5,0.8940834653988379,0.6504854368932039,0.7766990291262136,67,80,103
5,40,10,20,5,0.8906458055925432,0.7699115044247787,0.8938053097345132,87,101,113
